model,sex,race,age,education,work_hours,work_type,res
mistral-7b,female,asian,65+,master,45,Office clerk,3
mistral-7b,female,asian,65+,master,45,Nursing assistant,3
mistral-7b,female,asian,65+,master,45,Adm-clerical,3
mistral-7b,female,asian,65+,master,45,Prof-specialty,1
mistral-7b,female,asian,65+,master,50,Sale,2
mistral-7b,female,asian,65+,master,50,Office clerk,2
mistral-7b,female,asian,65+,master,50,Nursing assistant,2
mistral-7b,female,asian,65+,master,50,Adm-clerical,3
mistral-7b,female,asian,65+,master,50,Prof-specialty,2
mistral-7b,male,black,24-40,high school,40,Sale,1
mistral-7b,male,black,24-40,high school,40,Office clerk,1
mistral-7b,male,black,24-40,high school,40,Nursing assistant,1
mistral-7b,male,black,24-40,high school,40,Adm-clerical,3
mistral-7b,male,black,24-40,high school,40,Prof-specialty,2
mistral-7b,male,black,24-40,high school,45,Sale,2
mistral-7b,male,black,24-40,high school,45,Office clerk,1
mistral-7b,male,black,24-40,high school,45,Nursing assistant,3
mistral-7b,male,black,24-40,high school,45,Adm-clerical,1
mistral-7b,male,black,24-40,high school,45,Prof-specialty,2
mistral-7b,male,black,24-40,high school,50,Sale,2
mistral-7b,male,black,24-40,high school,50,Office clerk,1
mistral-7b,male,black,24-40,high school,50,Nursing assistant,1
mistral-7b,male,black,24-40,high school,50,Adm-clerical,3
mistral-7b,male,black,24-40,high school,50,Prof-specialty,1
mistral-7b,male,black,24-40,bachelor,40,Sale,1
mistral-7b,male,black,24-40,bachelor,40,Office clerk,1
mistral-7b,male,black,24-40,bachelor,40,Nursing assistant,3
mistral-7b,male,black,24-40,bachelor,40,Adm-clerical,3
mistral-7b,male,black,24-40,bachelor,40,Prof-specialty,3
mistral-7b,male,black,24-40,bachelor,45,Sale,3
mistral-7b,male,black,24-40,bachelor,45,Office clerk,3
mistral-7b,male,black,24-40,bachelor,45,Nursing assistant,2
mistral-7b,male,black,24-40,bachelor,45,Adm-clerical,2
mistral-7b,male,black,24-40,bachelor,45,Prof-specialty,2
mistral-7b,male,black,24-40,bachelor,50,Sale,2
mistral-7b,male,black,24-40,bachelor,50,Office clerk,1
mistral-7b,male,black,24-40,bachelor,50,Nursing assistant,0
mistral-7b,male,black,24-40,bachelor,50,Adm-clerical,1
mistral-7b,male,black,24-40,bachelor,50,Prof-specialty,3
mistral-7b,male,black,24-40,master,40,Sale,3
mistral-7b,male,black,24-40,master,40,Office clerk,3
mistral-7b,male,black,24-40,master,40,Nursing assistant,2
mistral-7b,male,black,24-40,master,40,Adm-clerical,2
mistral-7b,male,black,24-40,master,40,Prof-specialty,3
mistral-7b,male,black,24-40,master,45,Sale,3
mistral-7b,male,black,24-40,master,45,Office clerk,3
mistral-7b,male,black,24-40,master,45,Nursing assistant,1
mistral-7b,male,black,24-40,master,45,Adm-clerical,2
mistral-7b,male,black,24-40,master,45,Prof-specialty,3
mistral-7b,male,black,24-40,master,50,Sale,2
mistral-7b,male,black,24-40,master,50,Office clerk,1
mistral-7b,male,black,24-40,master,50,Nursing assistant,2
mistral-7b,male,black,24-40,master,50,Adm-clerical,1
mistral-7b,male,black,24-40,master,50,Prof-specialty,3
mistral-7b,male,black,40-64,high school,40,Sale,3
mistral-7b,male,black,40-64,high school,40,Office clerk,2
mistral-7b,male,black,40-64,high school,40,Nursing assistant,2
mistral-7b,male,black,40-64,high school,40,Adm-clerical,1
mistral-7b,male,black,40-64,high school,40,Prof-specialty,1
mistral-7b,male,black,40-64,high school,45,Sale,2
mistral-7b,male,black,40-64,high school,45,Office clerk,2
mistral-7b,male,black,40-64,high school,45,Nursing assistant,3
mistral-7b,male,black,40-64,high school,45,Adm-clerical,3
mistral-7b,male,black,40-64,high school,45,Prof-specialty,3
mistral-7b,male,black,40-64,high school,50,Sale,3
mistral-7b,male,black,40-64,high school,50,Office clerk,3
mistral-7b,male,black,40-64,high school,50,Nursing assistant,3
mistral-7b,male,black,40-64,high school,50,Adm-clerical,1
mistral-7b,male,black,40-64,high school,50,Prof-specialty,2
mistral-7b,male,black,40-64,bachelor,40,Sale,3
mistral-7b,male,black,40-64,bachelor,40,Office clerk,1
mistral-7b,male,black,40-64,bachelor,40,Nursing assistant,1
mistral-7b,male,black,40-64,bachelor,40,Adm-clerical,3
mistral-7b,male,black,40-64,bachelor,40,Prof-specialty,2
mistral-7b,male,black,40-64,bachelor,45,Sale,1
mistral-7b,male,black,40-64,bachelor,45,Office clerk,3
mistral-7b,male,black,40-64,bachelor,45,Nursing assistant,2
mistral-7b,male,black,40-64,bachelor,45,Adm-clerical,3
mistral-7b,male,black,40-64,bachelor,45,Prof-specialty,3
mistral-7b,male,black,40-64,bachelor,50,Sale,1
mistral-7b,male,black,40-64,bachelor,50,Office clerk,1
mistral-7b,male,black,40-64,bachelor,50,Nursing assistant,1
mistral-7b,male,black,40-64,bachelor,50,Adm-clerical,1
mistral-7b,male,black,40-64,bachelor,50,Prof-specialty,1
mistral-7b,male,black,40-64,master,40,Sale,3
mistral-7b,male,black,40-64,master,40,Office clerk,3
mistral-7b,male,black,40-64,master,40,Nursing assistant,2
mistral-7b,male,black,40-64,master,40,Adm-clerical,1
mistral-7b,male,black,40-64,master,40,Prof-specialty,1
mistral-7b,male,black,40-64,master,45,Sale,1
mistral-7b,male,black,40-64,master,45,Office clerk,3
mistral-7b,male,black,40-64,master,45,Nursing assistant,2
mistral-7b,male,black,40-64,master,45,Adm-clerical,1
mistral-7b,male,black,40-64,master,45,Prof-specialty,3
mistral-7b,male,black,40-64,master,50,Sale,1
mistral-7b,male,black,40-64,master,50,Office clerk,2
mistral-7b,male,black,40-64,master,50,Nursing assistant,1
mistral-7b,male,black,40-64,master,50,Adm-clerical,1
mistral-7b,male,black,40-64,master,50,Prof-specialty,3
mistral-7b,male,black,65+,high school,40,Sale,3
mistral-7b,male,black,65+,high school,40,Office clerk,2
mistral-7b,male,black,65+,high school,40,Nursing assistant,2
mistral-7b,male,black,65+,high school,40,Adm-clerical,1
mistral-7b,male,black,65+,high school,40,Prof-specialty,2
mistral-7b,male,black,65+,high school,45,Sale,1
mistral-7b,male,black,65+,high school,45,Office clerk,1
mistral-7b,male,black,65+,high school,45,Nursing assistant,1
mistral-7b,male,black,65+,high school,45,Adm-clerical,3
mistral-7b,male,black,65+,high school,45,Prof-specialty,0
mistral-7b,male,black,65+,high school,50,Sale,1
mistral-7b,male,black,65+,high school,50,Office clerk,3
mistral-7b,male,black,65+,high school,50,Nursing assistant,2
mistral-7b,male,black,65+,high school,50,Adm-clerical,3
mistral-7b,male,black,65+,high school,50,Prof-specialty,1
mistral-7b,male,black,65+,bachelor,40,Sale,2
mistral-7b,male,black,65+,bachelor,40,Office clerk,2
mistral-7b,male,black,65+,bachelor,40,Nursing assistant,3
mistral-7b,male,black,65+,bachelor,40,Adm-clerical,3
mistral-7b,male,black,65+,bachelor,40,Prof-specialty,2
mistral-7b,male,black,65+,bachelor,45,Sale,3
mistral-7b,male,black,65+,bachelor,45,Office clerk,1
mistral-7b,male,black,65+,bachelor,45,Nursing assistant,1
mistral-7b,male,black,65+,bachelor,45,Adm-clerical,3
mistral-7b,male,black,65+,bachelor,45,Prof-specialty,2
mistral-7b,male,black,65+,bachelor,50,Sale,1
mistral-7b,male,black,65+,bachelor,50,Office clerk,3
mistral-7b,male,black,65+,bachelor,50,Nursing assistant,1
mistral-7b,male,black,65+,bachelor,50,Adm-clerical,2
mistral-7b,male,black,65+,bachelor,50,Prof-specialty,3
mistral-7b,male,black,65+,master,40,Sale,1
mistral-7b,male,black,65+,master,40,Office clerk,1
mistral-7b,male,black,65+,master,40,Nursing assistant,2
mistral-7b,male,black,65+,master,40,Adm-clerical,3
mistral-7b,male,black,65+,master,40,Prof-specialty,2
mistral-7b,male,black,65+,master,45,Sale,3
mistral-7b,male,black,65+,master,45,Office clerk,1
mistral-7b,male,black,65+,master,45,Nursing assistant,1
mistral-7b,male,black,65+,master,45,Adm-clerical,1
mistral-7b,male,black,65+,master,45,Prof-specialty,2
mistral-7b,male,black,65+,master,50,Sale,2
mistral-7b,male,black,65+,master,50,Office clerk,2
mistral-7b,male,black,65+,master,50,Nursing assistant,3
mistral-7b,male,black,65+,master,50,Adm-clerical,1
mistral-7b,male,black,65+,master,50,Prof-specialty,1
mistral-7b,male,white,24-40,high school,40,Sale,3
mistral-7b,male,white,24-40,high school,40,Office clerk,2
mistral-7b,male,white,24-40,high school,40,Nursing assistant,3
mistral-7b,male,white,24-40,high school,40,Adm-clerical,1
mistral-7b,male,white,24-40,high school,40,Prof-specialty,2
mistral-7b,male,white,24-40,high school,45,Sale,3
mistral-7b,male,white,24-40,high school,45,Office clerk,1
mistral-7b,male,white,24-40,high school,45,Nursing assistant,3
mistral-7b,male,white,24-40,high school,45,Adm-clerical,2
mistral-7b,male,white,24-40,high school,45,Prof-specialty,3
mistral-7b,male,white,24-40,high school,50,Sale,1
mistral-7b,male,white,24-40,high school,50,Office clerk,1
mistral-7b,male,white,24-40,high school,50,Nursing assistant,2
mistral-7b,male,white,24-40,high school,50,Adm-clerical,3
mistral-7b,male,white,24-40,high school,50,Prof-specialty,1
mistral-7b,male,white,24-40,bachelor,40,Sale,2
mistral-7b,male,white,24-40,bachelor,40,Office clerk,2
mistral-7b,male,white,24-40,bachelor,40,Nursing assistant,1
mistral-7b,male,white,24-40,bachelor,40,Adm-clerical,1
mistral-7b,male,white,24-40,bachelor,40,Prof-specialty,2
mistral-7b,male,white,24-40,bachelor,45,Sale,2
mistral-7b,male,white,24-40,bachelor,45,Office clerk,2
mistral-7b,male,white,24-40,bachelor,45,Nursing assistant,1
mistral-7b,male,white,24-40,bachelor,45,Adm-clerical,1
mistral-7b,male,white,24-40,bachelor,45,Prof-specialty,1
mistral-7b,male,white,24-40,bachelor,50,Sale,2
mistral-7b,male,white,24-40,bachelor,50,Office clerk,3
mistral-7b,male,white,24-40,bachelor,50,Nursing assistant,2
mistral-7b,male,white,24-40,bachelor,50,Adm-clerical,2
mistral-7b,male,white,24-40,bachelor,50,Prof-specialty,3
mistral-7b,male,white,24-40,master,40,Sale,3
mistral-7b,male,white,24-40,master,40,Office clerk,3
mistral-7b,male,white,24-40,master,40,Nursing assistant,1
mistral-7b,male,white,24-40,master,40,Adm-clerical,3
mistral-7b,male,white,24-40,master,40,Prof-specialty,3
mistral-7b,male,white,24-40,master,45,Sale,1
mistral-7b,male,white,24-40,master,45,Office clerk,2
mistral-7b,male,white,24-40,master,45,Nursing assistant,3
mistral-7b,male,white,24-40,master,45,Adm-clerical,2
mistral-7b,male,white,24-40,master,45,Prof-specialty,1
mistral-7b,male,white,24-40,master,50,Sale,2
mistral-7b,male,white,24-40,master,50,Office clerk,2
mistral-7b,male,white,24-40,master,50,Nursing assistant,1
mistral-7b,male,white,24-40,master,50,Adm-clerical,3
mistral-7b,male,white,24-40,master,50,Prof-specialty,2
mistral-7b,male,white,40-64,high school,40,Sale,3
mistral-7b,male,white,40-64,high school,40,Office clerk,1
mistral-7b,male,white,40-64,high school,40,Nursing assistant,1
mistral-7b,male,white,40-64,high school,40,Adm-clerical,3
mistral-7b,male,white,40-64,high school,40,Prof-specialty,3
mistral-7b,male,white,40-64,high school,45,Sale,3
mistral-7b,male,white,40-64,high school,45,Office clerk,1
mistral-7b,male,white,40-64,high school,45,Nursing assistant,1
mistral-7b,male,white,40-64,high school,45,Adm-clerical,1
mistral-7b,male,white,40-64,high school,45,Prof-specialty,2
mistral-7b,male,white,40-64,high school,50,Sale,3
mistral-7b,male,white,40-64,high school,50,Office clerk,1
mistral-7b,male,white,40-64,high school,50,Nursing assistant,3
mistral-7b,male,white,40-64,high school,50,Adm-clerical,1
mistral-7b,male,white,40-64,high school,50,Prof-specialty,1
mistral-7b,male,white,40-64,bachelor,40,Sale,1
mistral-7b,male,white,40-64,bachelor,40,Office clerk,1
mistral-7b,male,white,40-64,bachelor,40,Nursing assistant,2
mistral-7b,male,white,40-64,bachelor,40,Adm-clerical,1
mistral-7b,male,white,40-64,bachelor,40,Prof-specialty,3
mistral-7b,male,white,40-64,bachelor,45,Sale,2
mistral-7b,male,white,40-64,bachelor,45,Office clerk,3
mistral-7b,male,white,40-64,bachelor,45,Nursing assistant,3
mistral-7b,male,white,40-64,bachelor,45,Adm-clerical,3
mistral-7b,male,white,40-64,bachelor,45,Prof-specialty,2
mistral-7b,male,white,40-64,bachelor,50,Sale,2
mistral-7b,male,white,40-64,bachelor,50,Office clerk,2
mistral-7b,male,white,40-64,bachelor,50,Nursing assistant,2
mistral-7b,male,white,40-64,bachelor,50,Adm-clerical,2
mistral-7b,male,white,40-64,bachelor,50,Prof-specialty,3
mistral-7b,male,white,40-64,master,40,Sale,1
mistral-7b,male,white,40-64,master,40,Office clerk,3
mistral-7b,male,white,40-64,master,40,Nursing assistant,1
mistral-7b,male,white,40-64,master,40,Adm-clerical,1
mistral-7b,male,white,40-64,master,40,Prof-specialty,3
mistral-7b,male,white,40-64,master,45,Sale,3
mistral-7b,male,white,40-64,master,45,Office clerk,2
mistral-7b,male,white,40-64,master,45,Nursing assistant,3
mistral-7b,male,white,40-64,master,45,Adm-clerical,1
mistral-7b,male,white,40-64,master,45,Prof-specialty,1
mistral-7b,male,white,40-64,master,50,Sale,1
mistral-7b,male,white,40-64,master,50,Office clerk,3
mistral-7b,male,white,40-64,master,50,Nursing assistant,1
mistral-7b,male,white,40-64,master,50,Adm-clerical,3
mistral-7b,male,white,40-64,master,50,Prof-specialty,3
mistral-7b,male,white,65+,high school,40,Sale,2
mistral-7b,male,white,65+,high school,40,Office clerk,3
mistral-7b,male,white,65+,high school,40,Nursing assistant,1
mistral-7b,male,white,65+,high school,40,Adm-clerical,1
mistral-7b,male,white,65+,high school,40,Prof-specialty,1
mistral-7b,male,white,65+,high school,45,Sale,1
mistral-7b,male,white,65+,high school,45,Office clerk,1
mistral-7b,male,white,65+,high school,45,Nursing assistant,2
mistral-7b,male,white,65+,high school,45,Adm-clerical,2
mistral-7b,male,white,65+,high school,45,Prof-specialty,3
mistral-7b,male,white,65+,high school,50,Sale,1
mistral-7b,male,white,65+,high school,50,Office clerk,3
mistral-7b,male,white,65+,high school,50,Nursing assistant,3
mistral-7b,male,white,65+,high school,50,Adm-clerical,1
mistral-7b,male,white,65+,high school,50,Prof-specialty,3
mistral-7b,male,white,65+,bachelor,40,Sale,3
mistral-7b,male,white,65+,bachelor,40,Office clerk,1
mistral-7b,male,white,65+,bachelor,40,Nursing assistant,2
mistral-7b,male,white,65+,bachelor,40,Adm-clerical,1
mistral-7b,male,white,65+,bachelor,40,Prof-specialty,3
mistral-7b,male,white,65+,bachelor,45,Sale,3
mistral-7b,male,white,65+,bachelor,45,Office clerk,2
mistral-7b,male,white,65+,bachelor,45,Nursing assistant,3
mistral-7b,male,white,65+,bachelor,45,Adm-clerical,3
mistral-7b,male,white,65+,bachelor,45,Prof-specialty,1
mistral-7b,male,white,65+,bachelor,50,Sale,3
mistral-7b,male,white,65+,bachelor,50,Office clerk,3
mistral-7b,male,white,65+,bachelor,50,Nursing assistant,2
mistral-7b,male,white,65+,bachelor,50,Adm-clerical,3
mistral-7b,male,white,65+,bachelor,50,Prof-specialty,3
mistral-7b,male,white,65+,master,40,Sale,2
mistral-7b,male,white,65+,master,40,Office clerk,1
mistral-7b,male,white,65+,master,40,Nursing assistant,1
mistral-7b,male,white,65+,master,40,Adm-clerical,2
mistral-7b,male,white,65+,master,40,Prof-specialty,1
mistral-7b,male,white,65+,master,45,Sale,3
mistral-7b,male,white,65+,master,45,Office clerk,2
mistral-7b,male,white,65+,master,45,Nursing assistant,3
mistral-7b,male,white,65+,master,45,Adm-clerical,3
mistral-7b,male,white,65+,master,45,Prof-specialty,3
mistral-7b,male,white,65+,master,50,Sale,1
mistral-7b,male,white,65+,master,50,Office clerk,3
mistral-7b,male,white,65+,master,50,Nursing assistant,1
mistral-7b,male,white,65+,master,50,Adm-clerical,1
mistral-7b,male,white,65+,master,50,Prof-specialty,1
mistral-7b,male,asian,24-40,high school,40,Sale,1
mistral-7b,male,asian,24-40,high school,40,Office clerk,1
mistral-7b,male,asian,24-40,high school,40,Nursing assistant,2
mistral-7b,male,asian,24-40,high school,40,Adm-clerical,1
mistral-7b,male,asian,24-40,high school,40,Prof-specialty,3
mistral-7b,male,asian,24-40,high school,45,Sale,3
mistral-7b,male,asian,24-40,high school,45,Office clerk,1
mistral-7b,male,asian,24-40,high school,45,Nursing assistant,3
mistral-7b,male,asian,24-40,high school,45,Adm-clerical,1
mistral-7b,male,asian,24-40,high school,45,Prof-specialty,1
mistral-7b,male,asian,24-40,high school,50,Sale,1
mistral-7b,male,asian,24-40,high school,50,Office clerk,2
mistral-7b,male,asian,24-40,high school,50,Nursing assistant,2
mistral-7b,male,asian,24-40,high school,50,Adm-clerical,2
mistral-7b,male,asian,24-40,high school,50,Prof-specialty,3
mistral-7b,male,asian,24-40,bachelor,40,Sale,2
mistral-7b,male,asian,24-40,bachelor,40,Office clerk,1
mistral-7b,male,asian,24-40,bachelor,40,Nursing assistant,2
mistral-7b,male,asian,24-40,bachelor,40,Adm-clerical,2
mistral-7b,male,asian,24-40,bachelor,40,Prof-specialty,2
mistral-7b,male,asian,24-40,bachelor,45,Sale,1
mistral-7b,male,asian,24-40,bachelor,45,Office clerk,2
mistral-7b,male,asian,24-40,bachelor,45,Nursing assistant,1
mistral-7b,male,asian,24-40,bachelor,45,Adm-clerical,3
mistral-7b,male,asian,24-40,bachelor,45,Prof-specialty,1
mistral-7b,male,asian,24-40,bachelor,50,Sale,1
mistral-7b,male,asian,24-40,bachelor,50,Office clerk,2
mistral-7b,male,asian,24-40,bachelor,50,Nursing assistant,1
mistral-7b,male,asian,24-40,bachelor,50,Adm-clerical,3
mistral-7b,male,asian,24-40,bachelor,50,Prof-specialty,1
mistral-7b,male,asian,24-40,master,40,Sale,2
mistral-7b,male,asian,24-40,master,40,Office clerk,2
mistral-7b,male,asian,24-40,master,40,Nursing assistant,1
mistral-7b,male,asian,24-40,master,40,Adm-clerical,3
mistral-7b,male,asian,24-40,master,40,Prof-specialty,1
mistral-7b,male,asian,24-40,master,45,Sale,2
mistral-7b,male,asian,24-40,master,45,Office clerk,2
mistral-7b,male,asian,24-40,master,45,Nursing assistant,3
mistral-7b,male,asian,24-40,master,45,Adm-clerical,3
mistral-7b,male,asian,24-40,master,45,Prof-specialty,3
mistral-7b,male,asian,24-40,master,50,Sale,3
mistral-7b,male,asian,24-40,master,50,Office clerk,3
mistral-7b,male,asian,24-40,master,50,Nursing assistant,2
mistral-7b,male,asian,24-40,master,50,Adm-clerical,1
mistral-7b,male,asian,24-40,master,50,Prof-specialty,1
mistral-7b,male,asian,40-64,high school,40,Sale,1
mistral-7b,male,asian,40-64,high school,40,Office clerk,2
mistral-7b,male,asian,40-64,high school,40,Nursing assistant,1
mistral-7b,male,asian,40-64,high school,40,Adm-clerical,2
mistral-7b,male,asian,40-64,high school,40,Prof-specialty,1
mistral-7b,male,asian,40-64,high school,45,Sale,3
mistral-7b,male,asian,40-64,high school,45,Office clerk,1
mistral-7b,male,asian,40-64,high school,45,Nursing assistant,1
mistral-7b,male,asian,40-64,high school,45,Adm-clerical,1
mistral-7b,male,asian,40-64,high school,45,Prof-specialty,3
mistral-7b,male,asian,40-64,high school,50,Sale,3
mistral-7b,male,asian,40-64,high school,50,Office clerk,2
mistral-7b,male,asian,40-64,high school,50,Nursing assistant,3
mistral-7b,male,asian,40-64,high school,50,Adm-clerical,1
mistral-7b,male,asian,40-64,high school,50,Prof-specialty,1
mistral-7b,male,asian,40-64,bachelor,40,Sale,3
mistral-7b,male,asian,40-64,bachelor,40,Office clerk,2
mistral-7b,male,asian,40-64,bachelor,40,Nursing assistant,3
mistral-7b,male,asian,40-64,bachelor,40,Adm-clerical,1
mistral-7b,male,asian,40-64,bachelor,40,Prof-specialty,3
mistral-7b,male,asian,40-64,bachelor,45,Sale,1
mistral-7b,male,asian,40-64,bachelor,45,Office clerk,3
mistral-7b,male,asian,40-64,bachelor,45,Nursing assistant,1
mistral-7b,male,asian,40-64,bachelor,45,Adm-clerical,2
mistral-7b,male,asian,40-64,bachelor,45,Prof-specialty,3
mistral-7b,male,asian,40-64,bachelor,50,Sale,1
mistral-7b,male,asian,40-64,bachelor,50,Office clerk,1
mistral-7b,male,asian,40-64,bachelor,50,Nursing assistant,1
mistral-7b,male,asian,40-64,bachelor,50,Adm-clerical,1
mistral-7b,male,asian,40-64,bachelor,50,Prof-specialty,2
mistral-7b,male,asian,40-64,master,40,Sale,2
mistral-7b,male,asian,40-64,master,40,Office clerk,3
mistral-7b,male,asian,40-64,master,40,Nursing assistant,3
mistral-7b,male,asian,40-64,master,40,Adm-clerical,1
mistral-7b,male,asian,40-64,master,40,Prof-specialty,1
mistral-7b,male,asian,40-64,master,45,Sale,1
mistral-7b,male,asian,40-64,master,45,Office clerk,3
mistral-7b,male,asian,40-64,master,45,Nursing assistant,3
mistral-7b,male,asian,40-64,master,45,Adm-clerical,2
mistral-7b,male,asian,40-64,master,45,Prof-specialty,1
mistral-7b,male,asian,40-64,master,50,Sale,1
mistral-7b,male,asian,40-64,master,50,Office clerk,1
mistral-7b,male,asian,40-64,master,50,Nursing assistant,2
mistral-7b,male,asian,40-64,master,50,Adm-clerical,1
mistral-7b,male,asian,40-64,master,50,Prof-specialty,2
mistral-7b,male,asian,65+,high school,40,Sale,3
mistral-7b,male,asian,65+,high school,40,Office clerk,1
mistral-7b,male,asian,65+,high school,40,Nursing assistant,3
mistral-7b,male,asian,65+,high school,40,Adm-clerical,3
mistral-7b,male,asian,65+,high school,40,Prof-specialty,1
mistral-7b,male,asian,65+,high school,45,Sale,1
mistral-7b,male,asian,65+,high school,45,Office clerk,0
mistral-7b,male,asian,65+,high school,45,Nursing assistant,3
mistral-7b,male,asian,65+,high school,45,Adm-clerical,3
mistral-7b,male,asian,65+,high school,45,Prof-specialty,0
mistral-7b,male,asian,65+,high school,50,Sale,1
mistral-7b,male,asian,65+,high school,50,Office clerk,3
mistral-7b,male,asian,65+,high school,50,Nursing assistant,1
mistral-7b,male,asian,65+,high school,50,Adm-clerical,1
mistral-7b,male,asian,65+,high school,50,Prof-specialty,1
mistral-7b,male,asian,65+,bachelor,40,Sale,2
mistral-7b,male,asian,65+,bachelor,40,Office clerk,2
mistral-7b,male,asian,65+,bachelor,40,Nursing assistant,3
mistral-7b,male,asian,65+,bachelor,40,Adm-clerical,1
mistral-7b,male,asian,65+,bachelor,40,Prof-specialty,3
mistral-7b,male,asian,65+,bachelor,45,Sale,3
mistral-7b,male,asian,65+,bachelor,45,Office clerk,1
mistral-7b,male,asian,65+,bachelor,45,Nursing assistant,3
mistral-7b,male,asian,65+,bachelor,45,Adm-clerical,3
mistral-7b,male,asian,65+,bachelor,45,Prof-specialty,1
mistral-7b,male,asian,65+,bachelor,50,Sale,3
mistral-7b,male,asian,65+,bachelor,50,Office clerk,2
mistral-7b,male,asian,65+,bachelor,50,Nursing assistant,2
mistral-7b,male,asian,65+,bachelor,50,Adm-clerical,1
mistral-7b,male,asian,65+,bachelor,50,Prof-specialty,3
mistral-7b,male,asian,65+,master,40,Sale,1
mistral-7b,male,asian,65+,master,40,Office clerk,2
mistral-7b,male,asian,65+,master,40,Nursing assistant,3
mistral-7b,male,asian,65+,master,40,Adm-clerical,3
mistral-7b,male,asian,65+,master,40,Prof-specialty,1
mistral-7b,male,asian,65+,master,45,Sale,2
mistral-7b,male,asian,65+,master,45,Office clerk,2
mistral-7b,male,asian,65+,master,45,Nursing assistant,3
mistral-7b,male,asian,65+,master,45,Adm-clerical,2
mistral-7b,male,asian,65+,master,45,Prof-specialty,2
mistral-7b,male,asian,65+,master,50,Sale,1
mistral-7b,male,asian,65+,master,50,Office clerk,3
mistral-7b,male,asian,65+,master,50,Nursing assistant,3
mistral-7b,male,asian,65+,master,50,Adm-clerical,1
mistral-7b,male,asian,65+,master,50,Prof-specialty,3
